surname,firstName,height
ÁGÚSTSSON, Rúnar Freyr, 1.91
ARENSMAN, Thymen, 1.90
ARMEE, Sander, 1.90
ARMIRAIL, Bruno, 1.90
ARMSTRONG, Brendan, 1.94
ASGREEN, Kasper, 1.93
BACON, Ruben, 1.90
BAK YTTING, Lars, 1.90
BASSETT, Stephen, 1.91
BAUER, Jack, 1.91
BECIS, Armands, 1.93
BENOOT, Tiesj, 1.90
BERGSTRÖM FRISK, Erik, 1.90
BEUKEBOOM, Dion, 1.99
BEULLENS, Cedric, 1.90
BEWLEY, Sam, 1.91
BIALOBLOCKI, Marcin, 1.93
BIZHIGITOV, Zhandos, 1.92
BJERG, Mikkel, 1.90
BOL, Cees, 1.94
BOOM, Lars, 1.91
BOONEN, Tom, 1.92
BOS, Theo, 1.90
BOSWELL, Ian, 1.90
BRANDLE, Mathias, 1.90
BRENNAN, Mackenzie, 1.91
BROWN, Jonathan, 1.91
BROZYNA, Piotr, 1.92
BRUNEL, Alexys, 1.91
BRUSSELMAN, Twan, 1.92
BUGTER, Luuc, 1.91
BURSTON, Samuel, 1.91
CABOT, Jeremy, 1.91
CAIROLI, Luca, 1.92
CARLSON, Zachary, 1.92
CARTHY, Hugh John, 1.91
CASTAGNERI, Simon, 1.90
CHAVANNE, Gabriel, 1.94
CIANETTI, Nicholas, 1.90
CLAEYS, Dimitri, 1.91
CLARKE, William, 1.92
CONCA, Filippo, 1.91
CORNU, Dominique, 1.97
CUMMINGS, Stephen (Steve), 1.90
CULLY, Jan Andrej, 1.91
DAHL, Herman, 1.92
DAHL, Kristopher, 1.95
DAL SANTO, Nicola, 1.91
DAL-CIN, Matteo, 1.94
DEBONS, Guérin, 1.91
DEKKER, David, 1.90
DE GREEF, Francis, 1.93
DE PLUS, Laurens, 1.90
DECLERCQ, Tim, 1.90
DEMPSTER, Zakkari, 1.90
DIBBEN, Jonathan, 1.91
DOMAGALSKI, Karol, 1.92
DOMBROWSKI, Davis, 1.90
DOUGALL, Nicolas, 1.92
DUCHESNE, Antoine, 1.90
DUNNE, Conor, 1.91
EEKHOFF, Nils, 1.91
ERVITI OLLO, Imanol, 1.90
FACCHINI, Patrick, 1.90
FEDOROV, Yevgeniy, 1.92
FLAKSIS, Andzs, 1.92
FRAHM, Jasper, 1.91
FRIESECKE, Gian, 1.90
FRISON, Frederik, 1.93
FUHRMANN DESIMPELAERE, Victor, 1.94
GAMPER, Patrick, 1.90
GANNA, Filippo, 1.92
GARRISON, Ian, 1.93
GASTAUER, Ben, 1.90
GAUDIN, Damien, 1.90
GAVARS, Eriks Toms, 1.94
GENIETS, Kevin, 1.93
GESINK, Robert, 1.90
GESSNER, Jakob, 1.91 
GODON, Dorian, 1.91
GRADEK, Kamil, 1.94
GRANIGAN, Noah, 1.91
GRLZINIS, Rokas, 1.91
GRUBER, Julian,1.92
GUARNIERI, Jacopo,1.90
GUILLOU, Florian,1.95
HAAK, Hugo,1.95
HAGA, Chad,1.91
HAIG, Jack,1.90
HARTVIG, Daniel Hening,1.95
HAYMAN, Mathew,1.90
HEGYVARY, Adrian,1.905
HELVEN, Sander,1.97
HERKLOTZ, Silvio,
HESJEDAL,Ryder, 1.91
HEßMANN, Michel,1.91
HOEKSTRA, Jochem,1.92
HOLLENSTEIN, Reto,1.97
HOOLE, Daan,1.93
HUYS, Branko,1.92
ILIC, Ognjen,1.90
IMHOF, Claudio,1.91
IVERSEN, Rasmus Byriel,1.90
JANSSEN, Adriaan,1.94
JARC, Blaž,1.96
JACOBS, Johan,1.92
JESKE, Daniel,1.92
JOEAAR, Gert,1.92
JÖEÄÄR, Marten,1.91
JORGENSEN, Christian Moberg,1.94
JØRGENSEN, Mathias Norsgaard,1.98
JORGENSON, Matteo,1.91
KAISEN, Olivier,1.95
KAISER, Adrian,1.95
KANKOVSKY, Alois,1.92
KATERBERG, Ben,1.90
KEIZER, Martijn,1.93
KERKHOF, Tim,1.90
KILUN, Roman,1.95
KIRSCH, Alex,1.94
KIRKPATRICK BAIRD, Leo,1.92
KLUGE, Roger,1.92
KLUCKERS, Arthur,1.91
KNEES, Christian,1.94
KNOTTEN, Iver Johan,1.91
KONING, Peter,1.90
KONOVALOVAS, Ignatas,1.90
KOUWENHOVEN, Sjoerd,1.92
KRASTS, Alekss,1.91
KRAWCZYK, Szymon,1.90
KRITSKIY, Timofey,1.90
KULIKOV, Vladislav,1.90
KUNG, Stefan,1.92
KUREK, Adrian,1.94
LAENGEN, Vegard Stake,1.95
LAPORTE, Christophe,1.91
LARSSON, Gustav,1.94
LATHAM, Christopher,1.92
LAUBER, Daniel,1.96
LEIJNSE, Enzo,1.93
LEEMREIZE, Gijs,1.90
LEVITT, Andrew,1.99
LEYSEN, Senne,1.90
LEVY, William Blume,1.92
LISSON, Christoffer,1.94
LIU, Hao,1.90
LOGUE, Clyde,1.90
LUDVIGSSON, Tobias,1.94
MAES, Nikolas,1.90
MANGEL, Laurent,1.95
MCBIRNEY, Tim,1.92
MCCANN, John,1.90
MCGEOUGH, Cormac,1.90
MCKEAN, Parker,1.96
MILAN, Jonathan,1.93
MILLAR, David,1.90
MITCHEL, Kluivert,1.96
MOL, Wesley,1.90
MOL, Wouter,1.95
MORICE, Julien,1.92
MORTLEY, Clint,1.905
MOURIS, Jens,1.98
MÜLLER, Patrick,1.93
NAEGELI, Daniel,1.90
NAVARDAUSKAS, Ramunas,1.90
NYCH, Artem,1.91
O'BRIEN, Kelland,1.95
OTTEMA, Rick,1.90
OVERLAHD, Bjornar,1.96
PAPIERSKI, Damian,1.93
PAUMANN, Fabian,1.91
PER, David,1.92
PESSOT, Alessandro,1.92
PETROGALLI, Ivangabriel,1.92
PHINNEY, Taylor,1.97
PLAZA MOLINA, Ruben,1.91
POLITT, Nils,1.93
POUTSMA, Stefan,1.91
PRICE-PEJTERSEN, Johan,1.96
PUGH, Ean,1.90
REINDERS, Elmar,1.90
RESELL, Erik,1.92
RICKAERT, Jonas,1.92
RIESEBEEK, Oscar,1.90
RITZINGER, Felix,1.91
ROBERGE, Adam,1.94
ROBEET, Ludovic,1.94
ROOSEN, Timo,1.93
